model,landscape,climate,year,species,disturbances,diversity,scenario,AGB_t_ha_med
ILAND,dischma,historic,30,fasy,no,high_future,alpha,0.022065255519190353
ILAND,dischma,historic,30,fasy,no,high_future,beta,0.0321836938795675
ILAND,dischma,historic,30,lade,future,high,alpha,33.97553350040199
ILAND,dischma,historic,30,lade,future,high,beta,45.79426153653307
ILAND,dischma,historic,30,lade,future,high_future,alpha,33.5863100618035
ILAND,dischma,historic,30,lade,future,high_future,beta,44.967878924087955
ILAND,dischma,historic,30,lade,future,low,alpha,11.758438859792673
ILAND,dischma,historic,30,lade,future,low,beta,30.27185888042363
ILAND,dischma,historic,30,lade,historic,high,alpha,34.16248769209781
ILAND,dischma,historic,30,lade,historic,high,beta,46.543815971331554
ILAND,dischma,historic,30,lade,historic,high_future,alpha,33.79954592624815
ILAND,dischma,historic,30,lade,historic,high_future,beta,45.65022877757054
ILAND,dischma,historic,30,lade,historic,low,alpha,11.821626347404326
ILAND,dischma,historic,30,lade,historic,low,beta,30.768402795071324
ILAND,dischma,historic,30,lade,no,high,alpha,34.5064952827332
ILAND,dischma,historic,30,lade,no,high,beta,47.510542849275694
ILAND,dischma,historic,30,lade,no,high_future,alpha,34.03293205715502
ILAND,dischma,historic,30,lade,no,high_future,beta,46.58519992386617
ILAND,dischma,historic,30,lade,no,low,alpha,11.871658668058386
ILAND,dischma,historic,30,lade,no,low,beta,31.404881757209367
ILAND,dischma,historic,30,piab,future,high,alpha,105.69463928431868
ILAND,dischma,historic,30,piab,future,high,beta,51.6404568514772
ILAND,dischma,historic,30,piab,future,high_future,alpha,104.74263053291853
ILAND,dischma,historic,30,piab,future,high_future,beta,51.279711800204936
ILAND,dischma,historic,30,piab,future,low,alpha,155.4259146956236
ILAND,dischma,historic,30,piab,future,low,beta,140.73079798423856
ILAND,dischma,historic,30,piab,future,no,prod,193.48998573556383
ILAND,dischma,historic,30,piab,historic,high,alpha,108.88313411110347
ILAND,dischma,historic,30,piab,historic,high,beta,52.89259209360886
ILAND,dischma,historic,30,piab,historic,high_future,alpha,108.31248986512584
ILAND,dischma,historic,30,piab,historic,high_future,beta,52.5357965040666
ILAND,dischma,historic,30,piab,historic,low,alpha,160.65580381576422
ILAND,dischma,historic,30,piab,historic,low,beta,145.24597609547178
ILAND,dischma,historic,30,piab,historic,no,prod,199.045861051614
ILAND,dischma,historic,30,piab,no,high,alpha,113.82407572061248
ILAND,dischma,historic,30,piab,no,high,beta,55.02039889503179
ILAND,dischma,historic,30,piab,no,high_future,alpha,113.05784677291157
ILAND,dischma,historic,30,piab,no,high_future,beta,54.513764711246765
ILAND,dischma,historic,30,piab,no,low,alpha,166.8762695666074
ILAND,dischma,historic,30,piab,no,low,beta,150.67285087961116
ILAND,dischma,historic,30,piab,no,no,prod,207.10339571086615
ILAND,dischma,historic,30,pice,future,high,alpha,8.585824391983351
ILAND,dischma,historic,30,pice,future,high,beta,16.811121375099948
